script,guid,reference_count,referencing_assets
Assets/Scripts/Characters/GuestScaleParticipant.cs,b099f2b1c3494d8fa900d71915c16f31,8,Assets/Scenes/Gameplay.unity:8
Assets/Scripts/Characters/RoomPersonWalker2D.cs,1b45edb93a9b42e58fa4cad7d4de84ce,2,Assets/Scenes/Gameplay.unity:2
Assets/Scripts/Characters/RoomPerspectiveProfile.cs,e43aae3b108144478b67cf2bce6ce997,2,Assets/ScriptableObjects/Rooms/DiningRoomPerspectiveProfile.asset:1 | Assets/ScriptableObjects/Rooms/DrawingRoomPerspectiveProfile.asset:1
Assets/Scripts/Characters/RoomProjectedEntity.cs,361e3658088b41ab98d330ae6457640b,7,Assets/Scenes/Gameplay.unity:3 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:2 | Assets/Prefabs/Room_Drawing_Room.prefab:2
Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs,75f090bb68ab450d9703d9581c5c543a,11,Assets/Scenes/Gameplay.unity:11
Assets/Scripts/Characters/YSortSolidObstacle2D.cs,e89a7a6e329b4106a50461f13559b2e0,0,
Assets/Scripts/Environment/RoomEnvironmentMarker.cs,37be03b1dd3c4b0fb9b8c5c1f6d4a03c,21,Assets/Scenes/Gameplay.unity:19 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:1 | Assets/Prefabs/Room_Drawing_Room.prefab:1
Assets/Scripts/Lighting/NoPostProcessRenderLayer.cs,501342ebff1f4a1091db7fdbb33842d5,0,
Assets/Scripts/Lighting/PostProcessBypassCamera.cs,f7e797986b214ad2bc9f12f34a77a24c,0,
Assets/Scripts/Lighting/RoomLightOverlay.cs,7f7a27b0ab2e4f728f38a7f82be9eb11,680,Assets/Scenes/Gameplay.unity:674 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:3 | Assets/Prefabs/Room_Drawing_Room.prefab:3
Assets/Scripts/Lighting/RoomLightingController.cs,1aeafe6c29b04bb5a9e6d98f06298e45,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Lighting/RoomLightingPreset.cs,6e26b37907904aac8d0f29cbf5a8401d,1,Assets/Resources/Lighting/RoomLightingPreset.asset:1
Assets/Scripts/MainMenuController.cs,edb659fd3a16f84f796f1355971d6893,1,Assets/Scenes/MainMenu.unity:1
Assets/Scripts/Navigation/DoorButton.cs,526d59741832df7afadeab75a481cf82,0,
Assets/Scripts/Navigation/DoorCameraSequence.cs,1a9d9d0c51c54b0f92dd15e3a7a6c4e1,1,Assets/Resources/Navigation/DoorCameraSequence.asset:1
Assets/Scripts/Navigation/DoorDataParser.cs,e87c131c2051e9f8b8649cf00313f37c,0,
Assets/Scripts/Navigation/DoorPromptSequenceController.cs,3f9bb60e65b04160aa752c2b3fcfdb4d,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Navigation/DoorTriggerNavigation.cs,7e419b0f8f26d4f2d8d03e567fef4c52,58,Assets/Scenes/MainMenu.unity:9 | Assets/Scenes/Gameplay.unity:45 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:2 | Assets/Prefabs/Room_Drawing_Room.prefab:2
Assets/Scripts/Navigation/ObjectMovementBlocker2D.cs,b95469e02af64fee8b29689edb9b583a,49,Assets/Scenes/Gameplay.unity:49
Assets/Scripts/Navigation/RoomContentGroup.cs,d0ea47fd950844bcacb0fd5556a9d880,22,Assets/Scenes/Gameplay.unity:19 | Assets/Prefabs/Room.prefab:1 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:1 | Assets/Prefabs/Room_Drawing_Room.prefab:1
Assets/Scripts/Navigation/RoomNavigationManager.cs,88f4088eff8696ab181615a79b7e114c,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Navigation/RoomVisualCatalog.cs,cbc070e2317b8dfd088947e285e93156,1,Assets/Resources/Navigation/RoomVisualCatalog.asset:1
Assets/Scripts/Oddities/OdditySpriteAnimator.cs,4c95f89f0ed64c71a67dc361f0eaa7ad,0,
Assets/Scripts/PlayerMovement.cs,0a3a55dd8487815229cb003de0eeaf13,1,Assets/Prefabs/Player.prefab:1
